year,revenue,ebitda,ebitda_margin,ebit,depreciation,capex,fcf_before_debt,debt_balance,interest_rate,interest_expense,ebt,taxes,net_income,fcf_after_capex,debt_paydown,fcf_to_equity
0,15827.9,2775.6,0.17536122922181718,1681.8,584.8,640.0,1427.0,13878.0,0.075,,,,,,,
1,16461.016,2966.9470133333334,0.18024081948121146,2357.8894213333333,609.057592,658.44064,,12886.921905146666,,1040.85,1317.0394213333334,276.57827848,1040.4611428533335,991.0780948533336,991.0780948533336,0.0
2,17119.45664,3169.1608277333335,0.18512040974060573,2535.7409320533334,633.41989568,684.7782656,,11698.595061624474,,966.5191428859999,1569.2217891673336,329.53657572514004,1239.6852134421936,1188.3268435221935,1188.3268435221935,0.0
3,17804.234905600002,3382.8046320640005,0.19,2724.0479405568003,658.7566915072,712.1693962240001,,10293.151650702652,,877.3946296218355,1846.6533109349648,387.7971952963426,1458.8561156386222,1405.4434109218223,1405.4434109218223,0.0
4,18516.404301824005,3518.1168173465608,0.19,2833.0098581790726,685.1069591674882,740.6561720729602,,8720.492310950789,,771.9863738026988,2061.0234843763737,432.8149317190385,1628.2085526573353,1572.6593397518632,1572.6593397518632,0.0
5,19257.060473896967,3658.8414900404237,0.19,2946.330252506236,712.5112375341878,770.2824189558787,,6967.351762316388,,654.0369233213091,2292.2933291849267,481.3815991288346,1810.9117300560922,1753.140548634401,1753.140548634401,0.0
