Shareholder_Group,Share_Classes_Held,Approx_Shares,Pct_Economic_Ownership,Pct_Voting_Power_Directors,Pct_Voting_Power_General,Can_Block_Takeover,Directors_Elected
Alan B. Miller & Family,Class A + Class C (majority),"~7,000,000 (est)",10.8%,90.5%,Very High (100 votes per Class C),Yes,5 of 7
Public Shareholders,Mostly Class B,"~58,000,000",89.2%,9.5%,Low (0.1 vote per Class B share),No,2 of 7
