,Revenue,Baseline EBITDA,Cost Synergies,Pro-Forma EBITDA,EBITDA Margin %
Year 0 (Current),15827.9,2775.6,0.0,2775.6,17.53612292218172
Year 1,16302.737,2858.868,173.87732749999998,3032.7453275,18.60267590343879
Year 2,16791.81911,2944.63404,354.38658999999996,3299.02063,19.64659462080163
Year 3,17295.5736833,3032.9730612,433.09029999999996,3466.0633611999997,20.040175738991003
